#    V [A^3/n_atoms]               E [eV]         OK
         22.57381406          -0.91243637       True
         24.20504666          -1.25174512       True
         25.91302931          -1.49649094       True
         27.69952638          -1.66890590       True
         29.56630223          -1.78610603       True
         31.51512124          -1.86117396       True
         33.54774777          -1.90423947       True
         35.66594620          -1.92301994       True
         37.87148089          -1.92348790       True
         40.16611621          -1.91020053       True
         42.55161653          -1.88668772       True
         45.02974622          -1.85558205       True
         47.60226965          -1.81895374       True
         50.27095119          -1.77838165       True
         53.03755520          -1.73503448       True
         55.90384606          -1.68985950       True
